company,full_name,sales,sales_value
Littel Inc,Tyrus Taffley,1,685
Kassulke-Walter,Britt Munnery,2,185
"Oberbrunner, Yost and Hauck",Melany Froggatt,3,872
O'Conner-Casper,Cointon Baiyle,4,960
"Mertz, Kris and Hartmann",Alicia Dowsey,5,224
"Lemke, Borer and Mraz",Kale Weare,6,215
"Schaden, Barton and Bergstrom",Lelah Hassewell,7,495
Bartoletti-Pfeffer,Pepito Dymott,8,273
"Jast, Legros and Abshire",Case Klampt,9,707
Kutch LLC,Atlanta Whetland,10,858
Wisozk LLC,Dionne Arnoldi,11,231
Hayes Inc,Ali Soaper,12,859
"Kshlerin, Williamson and Ondricka",Lyndsay Causey,13,315
"Hodkiewicz, Halvorson and Altenwerth",Sheeree Eagling,14,107
"Reynolds, Bartoletti and Zieme",Gustav Salery,15,635
Reichert and Sons,Cletis Btham,16,268
Waelchi-Zemlak,Gail Deners,17,876
"Powlowski, Effertz and Erdman",Dwight Sibbe,18,180
Pagac-Reilly,Thaine Ayliffe,19,427
"Pagac, Wolff and Hodkiewicz",Glynn Hardman,20,83
Runolfsdottir-Champlin,Gar Espine,21,875
"Green, Hodkiewicz and Treutel",Desiree Korting,22,671
Bins Inc,Velvet Kubczak,23,938
Hills-Hickle,Bethanne McGroarty,24,315
Balistreri-Marquardt,Skipton Migheli,25,430
Botsford-Trantow,Lauree Tunbridge,26,261
Denesik Group,Ashley Heads,27,83
"Wilderman, Bruen and Wilkinson",Jo-ann Chesshire,28,654
Waters-Grady,Lian Wilber,29,370
"McDermott, Mayert and Abshire",Lizabeth Ninnoli,30,293
Treutel-Gaylord,Chico Shawel,31,646
Boyle Inc,Selig Pyner,32,544
Herman and Sons,Torrance Di Dello,33,642
"Johnston, Grant and Howe",Thorin Demcak,34,950
Dibbert and Sons,Ariella Ledford,35,992
Crist-Mann,Ugo Eastope,36,664
"Fay, Morar and Walter",Lindsey Luxon,37,973
Roob and Sons,Karl Batte,38,706
"Lind, Langosh and Dietrich",Eada Wratten,39,271
"Wilderman, Wiegand and Moen",Aldwin Athowe,40,385
Hahn-Carroll,Marjory Pincott,41,733
"Kub, Kihn and Carter",Josee Kemet,42,636
Bauch LLC,Felicio Burkert,43,595
"Moen, Streich and Schuppe",Royal Pickworth,44,415
Howe-Wunsch,Oneida Kinder,45,721
Boyle Inc,Parke Jaxon,46,756
"Macejkovic, Roob and Schroeder",Isador Harlock,47,826
"Block, Weber and Aufderhar",Catlaina Tettersell,48,729
Hessel Group,Bendick Tindle,49,961
Medhurst-Dicki,Mike Reddan,50,918
McLaughlin Group,Fanchette Brownbill,51,260
Botsford LLC,Ricoriki Eacott,52,579
"Wolf, Greenfelder and Bechtelar",Sawyere Clackson,53,263
Tremblay and Sons,Nara Shovell,54,557
Monahan-Block,Alikee Tolworth,55,666
Mayer-Wolf,Burton Andrzejak,56,587
"Klocko, White and White",Masha Fermoy,57,947
Kiehn LLC,Bern Willett,58,207
Keebler-Bernier,Cy Brennan,59,569
"Pollich, Murray and Hilpert",Shelby Christophe,60,397
Harber and Sons,Taylor Rubenczyk,61,566
"Ryan, Collier and Dickinson",Alejoa Deener,62,683
Fisher-Lubowitz,Merlina Lesly,63,402
"Morar, Conn and Greenfelder",Stephine Zambonini,64,223
Kuhlman-Koelpin,Court Prahm,65,272
"Kessler, O'Reilly and Raynor",Sansone Chopin,66,289
McDermott-Ebert,Aidan Roloff,67,697
"Gislason, Haag and Franecki",Mahalia Andretti,68,123
Huels-Kshlerin,Harri Folshom,69,642
Kihn-Gerlach,Cassaundra Wagstaffe,70,930
Kautzer-Mueller,Elsworth Wickman,71,947
Keeling Inc,Michail Van Merwe,72,313
"Reichert, Conn and Braun",Mendie Gentner,73,82
"Jaskolski, Sawayn and Bayer",Barty Cumbridge,74,53
Nienow-Stiedemann,Tabby Simonson,75,486
Graham Inc,Cory Besque,76,574
Bayer-Hessel,Kristopher Correa,77,204
Fritsch LLC,Tanya Reeders,78,100
Tremblay-Bergstrom,Irving Kilmaster,79,115
Kohler-Stokes,Mattias McKirton,80,502
Schaden Group,Jaquenette Crosson,81,596
Feest LLC,Chanda Scarf,82,206
Wyman-Stracke,Brockie Hailes,83,373
"Hane, Gorczany and Treutel",Carree Feaver,84,263
Morissette-Koelpin,Rosabella Dawidowitz,85,895
O'Hara LLC,Alexia O'Leagham,86,604
"Cole, Rau and Parker",Giorgi Morsom,87,409
"Yost, Marvin and Kemmer",Brantley Fowkes,88,940
"Rutherford, Stoltenberg and Kautzer",Stefanie Dyneley,89,556
MacGyver Group,Donnie Waleran,90,821
Hermiston Inc,Aindrea Alastair,91,227
Braun-Tillman,Corrie Bacop,92,761
Murray Group,Wake Godball,93,477
Berge Group,Lora Phillp,94,885
"Gutmann, Ruecker and Stamm",Etta Ghidini,95,191
Schumm Inc,Sheffie O'Cahsedy,96,518
"Johnson, Johnston and Osinski",Farlay Creagh,97,950
Schumm LLC,Alvy Janiak,98,129
Little-Miller,Zeke Le Ball,99,658
"Effertz, Heaney and Eichmann",Whitney Tydd,100,301
Toy LLC,Olwen Richemond,101,703
Gutmann LLC,Giacopo Shenfish,102,755
Schultz-Carroll,Dorice Trevers,103,248
Mitchell Inc,Diane-marie Critchell,104,993
Bergstrom and Sons,Jillana Pattie,105,577
"Rath, Bednar and Kling",Wendall Prinn,106,277
Hansen LLC,Elisha Saura,107,306
Williamson-Kuhn,Krispin Iacivelli,108,443
"Goyette, Stoltenberg and Mayer",Ulrikaumeko Louth,109,136
Armstrong-Steuber,Rebeka Sandy,110,877
"O'Conner, Parker and Dare",Willey Rubra,111,43
"Lang, Schmidt and Kuhic",Viv Janjusevic,112,135
Corwin and Sons,Margarethe Pitcaithley,113,880
Lowe-Watsica,Brianna Norewood,114,570
Blick Inc,Sandie Laible,115,965
Windler Group,Vevay Muck,116,940
Prosacco-Runolfsdottir,Dusty Bette,117,214
Funk-Cremin,Vaclav Hurdis,118,849
"Schimmel, Schaden and Champlin",Lemuel Blasgen,119,323
Mitchell-Mertz,Alwyn Kave,120,778
"Dietrich, Rolfson and Corkery",Isabeau Merrin,121,768
Emmerich LLC,Alexio Howorth,122,346
Wolf Group,Barbara Itzkovich,123,645
Gibson-Greenfelder,Vikki Brinded,124,937
Schimmel and Sons,Gerald Fost,125,434
Gutmann-Eichmann,Casey Mangham,126,900
Schoen Inc,Sylvester Yarker,127,610
Roob-Greenfelder,Colette Swindells,128,996
Borer-Weissnat,Trstram de Mendoza,129,348
Luettgen-Erdman,Damara Potts,130,990
Windler and Sons,Karine Benstead,131,712
Grant Group,Dominica Cowap,132,299
Koch Inc,Ode Antonijevic,133,905
"Paucek, Prohaska and Conn",Dani Grigor,134,575
"Swaniawski, Bogan and Senger",Barbra Lifsey,135,370
McClure LLC,Harman de la Tremoille,136,767
Ortiz-Doyle,Durand Mecco,137,565
"Koss, Lesch and Stokes",Rhody Leckenby,138,15
Schinner-Jerde,Viviyan Neising,139,578
"Bechtelar, Mills and Auer",Olenolin Kinset,140,95
"Swift, Larson and Conn",Kendal Sweeten,141,845
Boyle and Sons,Mateo Andriessen,142,503
Pagac and Sons,Mayer Tompkin,143,146
"Wisozk, Predovic and Heaney",Kermie Hardi,144,280
Yundt-Towne,Raynard Cayette,145,459
Goyette-Ankunding,Karlotte Bucky,146,153
"Carroll, Rosenbaum and Senger",Reube MacWilliam,147,373
"Schoen, Nikolaus and Raynor",Baird Phillcock,148,208
"Sawayn, Ankunding and Adams",Vaclav Skedgell,149,940
"O'Conner, Zulauf and Deckow",Bradan Tedman,150,102
Barrows Group,Peder Lambell,151,962
Lemke Inc,Gilda Mosen,152,833
Hartmann-Swift,Harlen McIlhagga,153,693
"Hahn, Schoen and Upton",Emilio Slarke,154,128
Robel Group,Fran Lewinton,155,876
Schowalter-Watsica,Tony Beauman,156,208
Quitzon and Sons,Stesha Mennell,157,679
"Batz, Dare and D'Amore",Gaspard MacArthur,158,508
Stark-Crona,Alford Aldrick,159,419
